"AUXLR226.Code.or.Value","AUXLR226.Value.Description","AUXLR226.Count","AUXLR226.Cumulative","AUXLR226.Skip.to.Item"
"-29 to 61","Range of Values",3831,3831,NA
".","Missing",669,4500,NA
