"LBD146LC.Code.or.Value","LBD146LC.Value.Description","LBD146LC.Count","LBD146LC.Cumulative","LBD146LC.Skip.to.Item"
"0","At or above the detection limit",248,248,NA
"1","Below lower detection limit",3,251,NA
".","Missing",0,251,NA
