"BIXC159K.Code.or.Value","BIXC159K.Value.Description","BIXC159K.Count","BIXC159K.Cumulative","BIXC159K.Skip.to.Item"
"21.79 to 122.4","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
