"VTQ281E.Code.or.Value","VTQ281E.Value.Description","VTQ281E.Count","VTQ281E.Cumulative","VTQ281E.Skip.to.Item"
"1","Yes",163,163,NA
"2","No",2565,2728,NA
"7","Refused",0,2728,NA
"9","Don't know",1,2729,NA
".","Missing",718,3447,NA
