"DR2TS140.Code.or.Value","DR2TS140.Value.Description","DR2TS140.Count","DR2TS140.Cumulative","DR2TS140.Skip.to.Item"
"0 to 18.973","Range of Values",8220,8220,NA
".","Missing",1423,9643,NA
