"HCQ250.Code.or.Value","HCQ250.Value.Description","HCQ250.Count","HCQ250.Cumulative","HCQ250.Skip.to.Item"
"1","True",2,2,NA
"2","False",30,32,NA
"7","Refused",0,32,NA
"9","Don't know",3,35,NA
".","Missing",72,107,NA
