"LBCBR1LA.Code.or.Value","LBCBR1LA.Value.Description","LBCBR1LA.Count","LBCBR1LA.Cumulative","LBCBR1LA.Skip.to.Item"
"0.08485 to 1.761","Range of Values",284,284,NA
".","Missing",0,284,NA
