"ALQ130.Code.or.Value","ALQ130.Value.Description","ALQ130.Count","ALQ130.Cumulative","ALQ130.Skip.to.Item"
"1 to 14","Range of Values",3355,3355,NA
"15","15 drinks or more",20,3375,NA
"777","Refused",0,3375,NA
"999","Don't know",4,3379,NA
".","Missing",2356,5735,NA
