"AUXRR283.Code.or.Value","AUXRR283.Value.Description","AUXRR283.Count","AUXRR283.Cumulative","AUXRR283.Skip.to.Item"
"-11 to 96","Range of Values",3836,3836,NA
".","Missing",664,4500,NA
