"URDMSMLC.Code.or.Value","URDMSMLC.Value.Description","URDMSMLC.Count","URDMSMLC.Cumulative","URDMSMLC.Skip.to.Item"
"0","At or above the detection limit",0,0,NA
"1","Below lower detection limit",2494,2494,NA
".","Missing",200,2694,NA
