"DS2IVB12.Code.or.Value","DS2IVB12.Value.Description","DS2IVB12.Count","DS2IVB12.Cumulative","DS2IVB12.Skip.to.Item"
"0.73 to 5000","Range of Values",1910,1910,NA
".","Missing",3616,5526,NA
