"AUDTYR11.Code.or.Value","AUDTYR11.Value.Description","AUDTYR11.Count","AUDTYR11.Cumulative","AUDTYR11.Skip.to.Item"
"0 to 1.53","Range of Values",2754,2754,NA
".","Missing",280,3034,NA
