"VTQ241B.Code.or.Value","VTQ241B.Value.Description","VTQ241B.Count","VTQ241B.Cumulative","VTQ241B.Skip.to.Item"
"1 to 48","Range of Values",738,738,NA
".","Missing",2709,3447,NA
