"SXQ645.Code.or.Value","SXQ645.Value.Description","SXQ645.Count","SXQ645.Cumulative","SXQ645.Skip.to.Item"
"1","Never",1672,1672,NA
"2","Rarely",143,1815,NA
"3","Usually",81,1896,NA
"4","Always",134,2030,NA
"5","Unsure",21,2051,NA
"7","Refused",1,2052,NA
"9","Don't know",1,2053,NA
".","Missing",2790,4843,NA
