"WTSCI20.Code.or.Value","WTSCI20.Value.Description","WTSCI20.Count","WTSCI20.Cumulative","WTSCI20.Skip.to.Item"
"0 to 453565.37421","Range of Values",727,727,NA
".","Missing",51,778,NA
