"LBXF10LA.Code.or.Value","LBXF10LA.Value.Description","LBXF10LA.Count","LBXF10LA.Cumulative","LBXF10LA.Skip.to.Item"
"1.4 to 14.8","Range of Values",1202,1202,NA
".","Missing",1345,2547,NA
