"DRD370EQ.Code.or.Value","DRD370EQ.Value.Description","DRD370EQ.Count","DRD370EQ.Cumulative","DRD370EQ.Skip.to.Item"
"1 to 30","Range of Values",518,518,NA
".","Missing",8186,8704,NA
