"OPDSEXU.Code.or.Value","OPDSEXU.Value.Description","OPDSEXU.Count","OPDSEXU.Cumulative","OPDSEXU.Skip.to.Item"
"0","No",2338,2338,NA
"1","Yes",6,2344,NA
".","Missing",590,2934,NA
