"DXXIAX.Code.or.Value","DXXIAX.Value.Description","DXXIAX.Count","DXXIAX.Cumulative","DXXIAX.Skip.to.Item"
"580 to 1157.2","Range of Values",3274,3274,NA
".","Missing",434,3708,NA
