"DSDDAY1.Code.or.Value","DSDDAY1.Value.Description","DSDDAY1.Count","DSDDAY1.Cumulative","DSDDAY1.Skip.to.Item"
"1","Yes",4579,4579,NA
"2","No",2963,7542,NA
"7","Refused",0,7542,NA
"9","Don't know",13,7555,NA
".","Missing",845,8400,NA
