"LBXBHCLA.Code.or.Value","LBXBHCLA.Value.Description","LBXBHCLA.Count","LBXBHCLA.Cumulative","LBXBHCLA.Skip.to.Item"
"1.414 to 3720","Range of Values",2291,2291,NA
".","Missing",256,2547,NA
