"DS2TIRON.Code.or.Value","DS2TIRON.Value.Description","DS2TIRON.Count","DS2TIRON.Cumulative","DS2TIRON.Skip.to.Item"
"0.0004 to 217.2","Range of Values",888,888,NA
".","Missing",8450,9338,NA
