"DXXIAY.Code.or.Value","DXXIAY.Value.Description","DXXIAY.Count","DXXIAY.Cumulative","DXXIAY.Skip.to.Item"
"105.4 to 294.3","Range of Values",3242,3242,NA
".","Missing",466,3708,NA
