"AUDTYR76.Code.or.Value","AUDTYR76.Value.Description","AUDTYR76.Count","AUDTYR76.Cumulative","AUDTYR76.Skip.to.Item"
"0 to 0.34","Range of Values",1140,1140,NA
".","Missing",70,1210,NA
