"WTSC2YR.Code.or.Value","WTSC2YR.Value.Description","WTSC2YR.Count","WTSC2YR.Cumulative","WTSC2YR.Skip.to.Item"
"0 to 413068.05064","Range of Values",2432,2432,NA
".","Missing",0,2432,NA
