"URXUAS5.Code.or.Value","URXUAS5.Value.Description","URXUAS5.Count","URXUAS5.Cumulative","URXUAS5.Skip.to.Item"
"0.56 to 8.02","Range of Values",2654,2654,NA
".","Missing",101,2755,NA
