"DXXBICRT.Code.or.Value","DXXBICRT.Value.Description","DXXBICRT.Count","DXXBICRT.Cumulative","DXXBICRT.Skip.to.Item"
"0.6 to 1","Range of Values",3276,3276,NA
".","Missing",432,3708,NA
