"URXMOP.Code.or.Value","URXMOP.Value.Description","URXMOP.Count","URXMOP.Cumulative","URXMOP.Skip.to.Item"
"1.3067 to 14.784","Range of Values",2548,2548,NA
".","Missing",90,2638,NA
