"DXXLABEL.Code.or.Value","DXXLABEL.Value.Description","DXXLABEL.Count","DXXLABEL.Cumulative","DXXLABEL.Skip.to.Item"
"L4","L4",3251,3251,NA
"< blank >","Missing",457,3708,NA
