"URDUACLC.Code.or.Value","URDUACLC.Value.Description","URDUACLC.Count","URDUACLC.Cumulative","URDUACLC.Skip.to.Item"
"0","At or above the detection limit",419,419,NA
"1","Below lower detection limit",2102,2521,NA
".","Missing",84,2605,NA
