"CDQ008.Code.or.Value","CDQ008.Value.Description","CDQ008.Count","CDQ008.Cumulative","CDQ008.Skip.to.Item"
"1","Yes",203,203,NA
"2","No",652,855,NA
"7","Refused",0,855,NA
"9","Don't know",3,858,NA
".","Missing",2745,3603,NA
