"WHD050.Code.or.Value","WHD050.Value.Description","WHD050.Count","WHD050.Cumulative","WHD050.Skip.to.Item"
"62 to 420","Range of Values",5847,5847,NA
"77777","Refused",5,5852,NA
"99999","Don't know",187,6039,NA
".","Missing",5,6044,NA
