"LBXSCH.Code.or.Value","LBXSCH.Value.Description","LBXSCH.Count","LBXSCH.Cumulative","LBXSCH.Skip.to.Item"
"72 to 639","Range of Values",6551,6551,NA
".","Missing",428,6979,NA
