"URXECP.Code.or.Value","URXECP.Value.Description","URXECP.Count","URXECP.Cumulative","URXECP.Skip.to.Item"
"0.35 to 3412.5","Range of Values",2604,2604,NA
".","Missing",114,2718,NA
