"DIQ150.Code.or.Value","DIQ150.Value.Description","DIQ150.Count","DIQ150.Cumulative","DIQ150.Skip.to.Item"
"1","Yes",498,498,NA
"2","No",394,892,NA
"7","Refused",0,892,NA
"9","Don't know",2,894,NA
".","Missing",8599,9493,NA
