"DRD370H.Code.or.Value","DRD370H.Value.Description","DRD370H.Count","DRD370H.Cumulative","DRD370H.Skip.to.Item"
"1","Yes",86,86,""
"2","No",5338,5424,"DRD370I"
".","Missing",4338,9762,""
