"VIQ031.Code.or.Value","VIQ031.Value.Description","VIQ031.Count","VIQ031.Cumulative","VIQ031.Skip.to.Item"
"1","Excellent,",667,667,NA
"2","Good,",1164,1831,NA
"3","Fair,",494,2325,NA
"4","Poor, or",108,2433,NA
"5","Very poor?",28,2461,NA
"7","Refused",0,2461,NA
"9","Don't know",12,2473,NA
".","Missing",2568,5041,NA
