"CBQ698b.Code.or.Value","CBQ698b.Value.Description","CBQ698b.Count","CBQ698b.Cumulative","CBQ698b.Skip.to.Item"
"2","The print is too small for me to read",63,63,NA
".","Missing",6336,6399,NA
