"DS2TZINC.Code.or.Value","DS2TZINC.Value.Description","DS2TZINC.Count","DS2TZINC.Cumulative","DS2TZINC.Skip.to.Item"
"0.15 to 139.2","Range of Values",1600,1600,NA
".","Missing",8213,9813,NA
