"DS1TVD.Code.or.Value","DS1TVD.Value.Description","DS1TVD.Count","DS1TVD.Cumulative","DS1TVD.Skip.to.Item"
"0.01 to 2500","Range of Values",1896,1896,NA
".","Missing",7648,9544,NA
