"WTSCI35.Code.or.Value","WTSCI35.Value.Description","WTSCI35.Count","WTSCI35.Cumulative","WTSCI35.Skip.to.Item"
"0 to 488077.34317","Range of Values",727,727,NA
".","Missing",51,778,NA
