"FSD141.Code.or.Value","FSD141.Value.Description","FSD141.Count","FSD141.Cumulative","FSD141.Skip.to.Item"
"1","Yes",156,156,NA
"2","No",986,1142,NA
"7","Refused",0,1142,NA
"9","Don't know",1,1143,NA
".","Missing",9205,10348,NA
