"TBQ015c.Code.or.Value","TBQ015c.Value.Description","TBQ015c.Count","TBQ015c.Cumulative","TBQ015c.Skip.to.Item"
"3","TINE TEST",753,753,NA
".","Missing",7408,8161,NA
