"DR2TCHOL.Code.or.Value","DR2TCHOL.Value.Description","DR2TCHOL.Count","DR2TCHOL.Cumulative","DR2TCHOL.Skip.to.Item"
"0 to 1894","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
