"CIQP13O.Code.or.Value","CIQP13O.Value.Description","CIQP13O.Count","CIQP13O.Cumulative","CIQP13O.Skip.to.Item"
"1","Yes",51,51,NA
"2","No",67,118,NA
"7","Refused",0,118,NA
"9","Don't know",0,118,NA
".","Missing",810,928,NA
