"DRXFDCD.Code.or.Value","DRXFDCD.Value.Description","DRXFDCD.Count","DRXFDCD.Cumulative","DRXFDCD.Skip.to.Item"
"11000000 to 95342000","Range of Values",8536,8536,NA
".","Missing",0,8536,NA
