"DR2ICAFF.Code.or.Value","DR2ICAFF.Value.Description","DR2ICAFF.Count","DR2ICAFF.Cumulative","DR2ICAFF.Skip.to.Item"
"0 to 2160","Range of Values",120673,120673,NA
".","Missing",668,121341,NA
