"PAQ500.Code.or.Value","PAQ500.Value.Description","PAQ500.Count","PAQ500.Cumulative","PAQ500.Skip.to.Item"
"1","more active",1399,1399,NA
"2","less active, or",1598,2997,NA
"3","About the same?",4779,7776,NA
"7","Refused",4,7780,NA
"9","Don't know",4,7784,NA
".","Missing",2310,10094,NA
