"AUDTYL46.Code.or.Value","AUDTYL46.Value.Description","AUDTYL46.Count","AUDTYL46.Cumulative","AUDTYL46.Skip.to.Item"
"0 to 2.34","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
