"MPQ120z.Code.or.Value","MPQ120z.Value.Description","MPQ120z.Count","MPQ120z.Cumulative","MPQ120z.Skip.to.Item"
"35","Chest - left",45,45,NA
".","Missing",5366,5411,NA
