"MPQ120ac.Code.or.Value","MPQ120ac.Value.Description","MPQ120ac.Count","MPQ120ac.Cumulative","MPQ120ac.Skip.to.Item"
"38","Hand - right",92,92,NA
".","Missing",4788,4880,NA
