"OHQ095.Code.or.Value","OHQ095.Value.Description","OHQ095.Count","OHQ095.Cumulative","OHQ095.Skip.to.Item"
"1","Too little",332,332,NA
"2","Too much",292,624,NA
"3","DOESN'T NOTICE IT",4978,5602,NA
"7","Refused",1,5603,NA
"9","Don't know",17,5620,NA
".","Missing",3684,9304,NA
