"DSDACTSS.Code.or.Value","DSDACTSS.Value.Description","DSDACTSS.Count","DSDACTSS.Cumulative","DSDACTSS.Skip.to.Item"
"0.03 to 48","Range of Values",9337,9337,NA
".","Missing",222,9559,NA
