"URDTRSLC.Code.or.Value","URDTRSLC.Value.Description","URDTRSLC.Count","URDTRSLC.Cumulative","URDTRSLC.Skip.to.Item"
"0","At or above the detection limit",2088,2088,NA
"1","Below lower detection limit",516,2604,NA
".","Missing",114,2718,NA
