"DR2TVB1.Code.or.Value","DR2TVB1.Value.Description","DR2TVB1.Count","DR2TVB1.Cumulative","DR2TVB1.Skip.to.Item"
"0 to 9.36","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
