"LBCBR7.Code.or.Value","LBCBR7.Value.Description","LBCBR7.Count","LBCBR7.Cumulative","LBCBR7.Skip.to.Item"
"12.87 to 493.8","Range of Values",301,301,NA
".","Missing",0,301,NA
