"DSDPID.Code.or.Value","DSDPID.Value.Description","DSDPID.Count","DSDPID.Cumulative","DSDPID.Skip.to.Item"
"275 to 6666667074","Range of Values",5776,5776,NA
".","Missing",0,5776,NA
