"DR1TCHOL.Code.or.Value","DR1TCHOL.Value.Description","DR1TCHOL.Count","DR1TCHOL.Cumulative","DR1TCHOL.Skip.to.Item"
"0 to 2587","Range of Values",9169,9169,NA
".","Missing",781,9950,NA
