"WTSPO49.Code.or.Value","WTSPO49.Value.Description","WTSPO49.Count","WTSPO49.Cumulative","WTSPO49.Skip.to.Item"
"0.0000000 to 848686.0958900","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
