"LEAANKL.Code.or.Value","LEAANKL.Value.Description","LEAANKL.Count","LEAANKL.Cumulative","LEAANKL.Skip.to.Item"
"1","Right",11,11,NA
"2","Left",12,23,NA
"3","Both",2878,2901,NA
"8","Could not obtain",2,2903,NA
".","Missing",281,3184,NA
