"DR1ICALC.Code.or.Value","DR1ICALC.Value.Description","DR1ICALC.Count","DR1ICALC.Cumulative","DR1ICALC.Skip.to.Item"
"0 to 4412","Range of Values",130698,130698,NA
".","Missing",696,131394,NA
