"URDP19LC.Code.or.Value","URDP19LC.Value.Description","URDP19LC.Count","URDP19LC.Cumulative","URDP19LC.Skip.to.Item"
"0","At or above the detection limit",1902,1902,NA
"1","Below lower detection limit",585,2487,NA
".","Missing",107,2594,NA
