"URXECPT.Code.or.Value","URXECPT.Value.Description","URXECPT.Count","URXECPT.Cumulative","URXECPT.Skip.to.Item"
"0.14 to 6066.6","Range of Values",2762,2762,NA
".","Missing",224,2986,NA
