"DXXPT39Y.Code.or.Value","DXXPT39Y.Value.Description","DXXPT39Y.Count","DXXPT39Y.Cumulative","DXXPT39Y.Skip.to.Item"
"158.1 to 386.8","Range of Values",3291,3291,NA
".","Missing",417,3708,NA
